Time,AC Primary Load,Grid Purchases,Grid Sales,Grid Demand Limit,Total Demand Rate,Total Consumption Rate,Grid Sellback Rate,:Energy Charge,Highway Charger Served,Total EV Charger Served,CAT-50kVA-50Hz-PP Power Output,CAT-50kVA-50Hz-PP Operating Status,CAT-50kVA-50Hz-PP Fuel,Total Electrical Load Served,Renewable Penetration,Total Renewable Power Output,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity,,AC Required Operating Capacity new values
01/03/2021 08:00,97.15822,108.8249,0,173.2163,6.527055,0.071407,0.071407,1,11.66667,11.66667,0,0,0,108.8249,0,0,132.8594,0,132.8594,0,,106.28752
01/03/2021 09:00,82.05404,97.88737,0,173.2163,6.527055,0.071407,0.071407,1,15.83333,15.83333,0,0,0,97.88737,0,0,121.375,0,121.375,0,,97.1
01/03/2021 10:00,58.52301,65.18968,0,173.2163,6.527055,0.071407,0.071407,1,6.666667,6.666667,0,0,0,65.18968,0,0,87.04243,0,87.04243,0,,69.633944
01/03/2021 11:00,55.55551,128.0555,0,173.2163,6.527055,0.071407,0.071407,1,72.5,72.5,0,0,0,128.0555,0,0,153.0516,0,153.0516,0,,122.44128
01/03/2021 12:00,54.45761,64.45761,0,173.2163,6.527055,0.071407,0.071407,1,10,10,0,0,0,64.45761,0,0,86.27376,0,86.27376,0,,69.019008
01/03/2021 13:00,53.65124,71.15124,0,173.2163,6.527055,0.071407,0.071407,1,17.5,17.5,0,0,0,71.15124,0,0,93.30206,0,93.30206,0,,74.641648
01/03/2021 14:00,53.20761,69.87428,0,173.2163,6.527055,0.071407,0.071407,1,16.66667,16.66667,0,0,0,69.87428,0,0,91.96125,0,91.96125,0,,73.569
01/03/2021 15:00,52.79316,65.29317,0,173.2163,6.527055,0.071407,0.071407,1,12.5,12.5,0,0,0,65.29317,0,0,87.15108,0,87.15108,0,,69.720864
01/03/2021 16:00,63.25555,143.2556,0,173.2163,6.527055,0.071407,0.071407,1,80,80,0,0,0,143.2556,0,0,169.0116,0,169.0116,0,,135.20928
01/03/2021 17:00,73.22056,73.22056,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,73.22056,0,0,95.47485,0,95.47485,0,,76.37988
01/03/2021 18:00,85.53574,138.0357,0,173.2163,6.527055,0.071407,0.071407,1,52.5,52.5,0,0,0,138.0357,0,0,163.5308,0,163.5308,0,,130.82464
01/03/2021 19:00,85.33282,85.33282,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,85.33282,0,0,108.1927,0,108.1927,0,,86.55416
01/03/2021 20:00,91.128,91.96133,0,173.2163,6.527055,0.071407,0.071407,1,0.8333333,0.8333333,0,0,0,91.96133,0,0,115.1527,0,115.1527,0,,92.12216
01/03/2021 21:00,88.84602,101.346,0,173.2163,6.527055,0.071407,0.071407,1,12.5,12.5,0,0,0,101.346,0,0,125.0066,0,125.0066,0,,100.00528
01/03/2021 22:00,66.84463,66.84463,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,66.84463,0,0,88.78013,0,88.78013,0,,71.024104
01/03/2021 23:00,46.10735,46.10735,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,46.10735,0,0,67.00598,0,67.00598,0,,53.604784
01/04/2021 00:00,39.9467,39.9467,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,39.9467,0,0,60.5373,0,60.5373,0,,48.42984
01/04/2021 01:00,39.23269,55.06602,0,173.2163,6.527055,0.071407,0.071407,1,15.83333,15.83333,0,0,0,55.06602,0,0,76.41259,0,76.41259,0,,61.130072
01/04/2021 02:00,37.79045,37.79045,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,37.79045,0,0,58.27324,0,58.27324,0,,46.618592
01/04/2021 03:00,37.93862,37.93862,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,37.93862,0,0,58.42882,0,58.42882,0,,46.743056
01/04/2021 04:00,39.69494,82.19494,0,173.2163,6.527055,0.071407,0.071407,1,42.5,42.5,0,0,0,82.19494,0,0,104.8979,0,104.8979,0,,83.91832
01/04/2021 05:00,46.93254,46.93254,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,46.93254,0,0,67.87243,0,67.87243,0,,54.297944
01/04/2021 06:00,72.85465,90.35465,0,173.2163,6.527055,0.071407,0.071407,1,17.5,17.5,0,0,0,90.35465,0,0,113.4657,0,113.4657,0,,90.77256
01/04/2021 07:00,89.82416,130.6575,0,173.2163,6.527055,0.071407,0.071407,1,40.83333,40.83333,0,0,0,130.6575,0,0,155.7836,0,155.7836,0,,124.62688
01/04/2021 08:00,72.54907,95.88241,0,173.2163,6.527055,0.071407,0.071407,1,23.33333,23.33333,0,0,0,95.88241,0,0,119.2698,0,119.2698,0,,95.41584
01/04/2021 09:00,68.03312,121.3665,0,173.2163,6.527055,0.071407,0.071407,1,53.33333,53.33333,0,0,0,121.3665,0,0,146.028,0,146.028,0,,116.8224
